ID,Oku_Text,English_NIV_Equivalent
1,Ghine lu ɛbaa ə Jesus Christ wɛ wán ə David.,This is the genealogy of Jesus the Messiah the son of David.
2,David nè lu wán ə Ablaham.,David was the son of Abraham.
3,Ablaham nè lu ba ə Ayzek.,Abraham was the father of Isaac.
4,Ayzek nè luun ba ə Jakob.,Isaac the father of Jacob.
5,Jakob nè lu ba ə Juda ghene ghone-no ə wen ɛluumene.,Jacob the father of Judah and his brothers.
6,Juda nè lu ba ə Bɛlɛz ghene Zela ghɛ ɛybii Tamal.,Judah the father of Perez and Zerah whose mother was Tamar.
7,Bɛlɛz nè lu ba ə Hezlon wɛ nè luun ba ə Lam.,Perez the father of Hezron and Hezron the father of Ram.
8,Lam nè lu ba ə Amminadab wɛ ba ə Nahshon wɛ nè luun ba ə Salmon.,Ram the father of Amminadab and Amminadab the father of Nahshon and Nahshon the father of Salmon.
9,Salmon nè lu ba ə Boaz wɛ ɛybii Lahab.,Salmon the father of Boaz whose mother was Rahab.
10,Boaz nè lu ba Obet wɛ ɛybii Lut.,Boaz the father of Obed whose mother was Ruth.
11,Nɛ Obet lu ba ə Jesse.,And Obed the father of Jesse.
12,Jesse nè lu ba əbfon wɛ David.,And Jesse the father of King David.
13,David nè lu ba ə Solomon wɛ no ə wen nè luun wiy Uliah se mbiy.,David was the father of Solomon whose mother had been Uriah’s wife.
14,Solomon nè lu ba ə Lehoboam wɛ ba Abija wɛ nè luun ba Asa.,Solomon the father of Rehoboam and Rehoboam the father of Abijah and Abijah the father of Asa.
15,Asa nè lu ba ə Jehoshafat wɛ ba ə Jeholam wɛ nè luun ba Uzzia.,Asa the father of Jehoshaphat and Jehoshaphat the father of Jehoram and Jehoram the father of Uzzia.
16,Uzzia nè lu ba ə Jotham wɛ ba Aghaz wɛ nè luun ba ə Hezekia.,Uzzia the father of Jotham and Jotham the father of Ahaz and Ahaz the father of Hezekia.
17,Hezekia nè lu ba ə Manasse wɛ ba Amos wɛ nè luun ba Josia.,Hezekia the father of Manasse and Manasse the father of Amon and Amon the father of Josiah.
18,Josia nè lu ba ə Jekonia ghene ghone-no ə wen ɛluumene.,And Josiah the father of Jeconiah and his brothers.
19,É nè bii ghene əbliy wɛ é nè koon ghele Islael ghene ndu è se chii ɛ Babilon.,This was at the time of the exile to Babylon.
