source,target
"translate English to Oku: Keeping a close watch on him, they sent spies, who pretended to be sincere. They hoped to catch Jesus in something he said, so that they might hand him over to the power and authority of the governor.","Ghene se kiye eyjel a wen se cytof, è tum ghel eyshie é se fefse ge é lu ghel ejuje, ka Jesus loo sunnen, é ghene koo kenəə ɛ wen ǝbchio, è me fo wen se ghe eysake gese nè se Goveno."
"translate English to Oku: Then Pilate asked him, ‘Don’t you hear the testimony they are bringing against you?’",Bailet gese bif se wen ge: Wề báà se yio əbnəə vin we ghel ghine toyen wè se ten-a?
translate English to Oku: So he left Judea and went back once more to Galilee.,"ǝb keele dì è me lòò se sybee eylak ye é tonten ge Judea, è fiile se ye é tornten ge Galilee."
translate Oku to English: Ghεn yε ke fε é yε toŋte ghen ge ndintese,bek ge ghεn lu ghone-nyii ki kεn ndinte εymok.
translate Oku to English: Me nêy lon é Bay fő ngiamten zylee ye ey ye lu ghene ghene ǝbliy ǝbjim.,"And I will ask the Father, and he will give you another advocate to help you and be with you forever—"
"translate Oku to English: Dî ne ghesen suuy ge fo wel, é ghel ghe é luun fen tamle ghesen në etiye bek ka ghene nè beemen ge Joon lu nfekte.","'But if we say, ""Of human origin,"" all the people will stone us, because they are persuaded that John was a prophet.'"
translate English to Oku: What you have just said is quite true.',Kenǝǝ ke wè suuyen lu ǝbluuy.
"translate English to Oku: Now Judas, who betrayed him, knew the place, because Jesus had often met there with his disciples.",Judas we ab nè feenen Jesus nè ke kelike ten bek ka Jesus ghene ghon-cyfel na wene nè lóó é ye konen fo ǝbliy nè ǝbliye.
"translate English to Oku: 'All these I have kept since I was a boy,' he said.",Wel vi me fise ge: 'Mɛ me se neeyennen sêy nè vin abjim naa se lu ka mɛ nè luun wán-əbnyinyek di.'
translate Oku to English: Ghene waame ge: Bante wen se kentam!,"""Crucify him!"" they shouted."
"translate Oku to English: 'Nchil we Moses gese nè ntie na tefon na Feyin me luun ndu è chin se lu ka Jan-wele-fole-ghel me gwiy. Keete ɛ əbliiy fo di, Feyine nè suuyen ntie-əbjuŋ kum tefon na wen, nɛ wel ejim nè jame ɛ ten nè ammmba. Dí əb lu kelaanen ge eyshaa na eysak gwelmen geese nɛ kebaane-eyfise-əbnəə moke ɛ eychie nchil moke ge ab mey.'","'The Law and the Prophets were proclaimed until John. Since that time, the good news of the kingdom of God is being preached, and everyone is forcing his way into it. It is easier for heaven and earth to disappear than for the least stroke of a pen to drop out of the Law.'"
translate Oku to English: Əb nè chii ǝbkwak se ǝbchii əmmkeek πε Satan momse wen.,"and he was in the wilderness forty days, being tempted by Satan."
"translate Oku to English: Bita me lek ge: Lòò ye lu ne me yia əbbuam, Feyine mak ngek se me ketuu. Mẹ báà se ke wel we ghene surŋnen kum wen.","He began to call down curses, and he swore to them, ""I don’t know this man you’re talking about."""
translate English to Oku: In that day you will ask in my name.,"É naa loo lu əbliy fo, é ghen lon se wen e me eyghel."
"translate English to Oku: As soon as they got out of the boat, people recognized Jesus.","Se lu ka ghene nè fǝyen gwiyen se kenək ɛ leghe, ghele me keele Jesus,"
"translate Oku to English: Əbkiy ghii fan è ngvəkte è tam tekek a ghen se ntie, ghel ghii suuy se ghene ge:","In their fright the women bowed down with their faces to the ground, but the men said to them,"
translate English to Oku: except the one who is from God; only he has seen the Father.,Lu ken vi di we ǝb nè lòòn se Feyine we ǝb nè yenenmen Bay.
translate Oku to English: Εysak nə Feyine lu ka ba ə ndaa wε əb nè lò lòò nè εyghune-chuy se kεηe ghel εyfεl se fəy εylem əbghaake nə wen.,For the kingdom of heaven is like a landowner who went out early in the morning to hire workers for his vineyard.
translate Oku to English: Ke dine ge wè nè ke ge mε lu wel kaa əbfua nε mε nè báà vii gese baate əbfua nε mε nè báà lem?,So you knew that I harvest where I have not sown and gather where I have not scattered seed?
translate Oku to English: Jesus fise ge: Wè le loote lu kebaaten se kuo bek me-a?,"Then Jesus answered, 'Will you really lay down your life for me?"
